path,distance,cities,kilometers
"Екатеринбург - Артёмовский - Буланаш - Ирбит - Туринск - Алапаевск - Екатеринбург,604 км,""{Екатеринбург,Артёмовский,Буланаш,Ирбит,Туринск,Алапаевск,Екатеринбург}"",604"
"Екатеринбург - Артёмовский - Ирбит - Алапаевск - Екатеринбург,477 км,""{Екатеринбург,Артёмовский,Ирбит,Алапаевск,Екатеринбург}"",477"
"Екатеринбург - Артемовский - Ирбит - Байкалово - В.Синячиха - Алапаевск - Екатеринбург,612 км,""{Екатеринбург,Артемовский,Ирбит,Байкалово,В.Синячиха,Алапаевск,Екатеринбург}"",612"
"Екатеринбург - Артемовский - Ирбит - В.Синячиха - Реж - Екатеринбург,492 км,""{Екатеринбург,Артемовский,Ирбит,В.Синячиха,Реж,Екатеринбург}"",492"
"Екатеринбург - Артёмовский - Ирбит - Синячиха - Алапаевск - Екатеринбург,483 км,""{Екатеринбург,Артёмовский,Ирбит,Синячиха,Алапаевск,Екатеринбург}"",483"
"Екатеринбург - Артемовский - Ирбит - Туринск - Алапаевск - Екатеринбург,604 км,""{Екатеринбург,Артемовский,Ирбит,Туринск,Алапаевск,Екатеринбург}"",604"
"Екатеринбург - Артемовский - Ирбит - Туринск - В.Синячиха - Алапаевск - Екатеринбург,604 км,""{Екатеринбург,Артемовский,Ирбит,Туринск,В.Синячиха,Алапаевск,Екатеринбург}"",604"
"Екатеринбург - Асбест - Екатеринбург,162 км,""{Екатеринбург,Асбест,Екатеринбург}"",162"
"Екатеринбург - Асбест - Богданович - Екатеринбург,235 км,""{Екатеринбург,Асбест,Богданович,Екатеринбург}"",235"
"Екатеринбург - Асбест - Богданович - Белоярский - Екатеринбург,231 км,""{Екатеринбург,Асбест,Богданович,Белоярский,Екатеринбург}"",231"
"Екатеринбург - Ачит - Красноуфимск - Арти - Михайловск - Н.Серги - В.Серги - Екатеринбург,460 км,""{Екатеринбург,Ачит,Красноуфимск,Арти,Михайловск,Н.Серги,В.Серги,Екатеринбург}"",460"
"Екатеринбург - Ачит - Красноуфимск - Михайловск - Н.Серги - В.Серги - Екатеринбург,450 км,""{Екатеринбург,Ачит,Красноуфимск,Михайловск,Н.Серги,В.Серги,Екатеринбург}"",450"
"Екатеринбург - Ачит - Красноуфимск - Михайловск - Новая Ельня - Н.Серги - В.Серги - Екатеринбург,460 км,""{Екатеринбург,Ачит,Красноуфимск,Михайловск,Новая Ельня,Н.Серги,В.Серги,Екатеринбург}"",460"
"Екатеринбург - Бисерть - Ачит - Красноуфимск - Арти - Михайловск - Н.Серги - Екатеринбург,450 км,""{Екатеринбург,Бисерть,Ачит,Красноуфимск,Арти,Михайловск,Н.Серги,Екатеринбург}"",450"
"Екатеринбург - Бисерть - Ачит - Красноуфимск - Арти - Михайловск - Н.Серги - В.Серги - Екатеринбург,490 км,""{Екатеринбург,Бисерть,Ачит,Красноуфимск,Арти,Михайловск,Н.Серги,В.Серги,Екатеринбург}"",490"
"Екатеринбург - Бобровский - Екатеринбург,74 км,""{Екатеринбург,Бобровский,Екатеринбург}"",74"
"Екатеринбург - Бобровский - Сысерть - Екатеринбург,111 км,""{Екатеринбург,Бобровский,Сысерть,Екатеринбург}"",111"
"Екатеринбург - Большое Седельниково - Первомайский - Октябрьский - Кашино - Сысерть - Щелкун - Бобровский - Екатеринбург,194 км,""{Екатеринбург,Большое Седельниково,Первомайский,Октябрьский,Кашино,Сысерть,Щелкун,Бобровский,Екатеринбург}"",194"
"Екатеринбург - Горный Щит - Бобровский - Екатеринбург,91 км,""{Екатеринбург,Горный Щит,Бобровский,Екатеринбург}"",91"
"Екатеринбург - Каменск-Уральский - Екатеринбург,199 км,""{Екатеринбург,Каменск-Уральский,Екатеринбург}"",199"
